chrom	size	intra	inter	intra_per_Mb	inter_per_Mb	ratio_inter_intra	species
scaffold_20	18320768	14706	534146	802.6956	29155.2188	36.3216	Emontana
scaffold_21	18307894	15225	565151	831.6085	30869.2524	37.1199	Emontana
scaffold_22	18149866	14535	533808	800.8324	29411.1262	36.7257	Emontana
scaffold_23	17819820	14365	537943	806.1249	30187.9031	37.4482	Emontana
scaffold_3	27318707	33930	794567	1242.0061	29085.0881	23.4178	Emontana
scaffold_5	23748086	25200	684738	1061.1381	28833.3974	27.1721	Emontana
scaffold_6	23429930	24310	654803	1037.5618	27947.2879	26.9355	Emontana
scaffold_7	23017939	23871	674567	1037.0607	29306.1425	28.2588	Emontana
scaffold_8	22822425	22578	660039	989.2901	28920.634	29.2337	Emontana
scaffold_9	21705891	20910	632125	963.3329	29122.2784	30.2308	Emontana
scaffold_1	60994940	145936	692604	2392.5919	11355.1058	4.7459	Epalarica
scaffold_10	28167332	36062	371433	1280.2775	13186.6589	10.2998	Epalarica
scaffold_11	27179420	30661	317569	1128.0962	11684.1713	10.3574	Epalarica
scaffold_12	21946929	22129	308164	1008.296	14041.3267	13.9258	Epalarica
scaffold_13	19513606	15914	248837	815.5335	12751.9742	15.6364	Epalarica
scaffold_2	40040376	69888	524716	1745.4382	13104.6721	7.508	Epalarica
scaffold_3	39449659	68956	508867	1747.9492	12899.1483	7.3796	Epalarica
scaffold_4	38725888	65931	503209	1702.5045	12994.1242	7.6324	Epalarica
scaffold_5	38441827	66155	469543	1720.912	12214.3778	7.0976	Epalarica
scaffold_6	37589252	62561	451251	1664.3321	12004.788	7.213	Epalarica
