TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA.TcMar-Mariner	0.001098	0.00147	5.18e-4	2.68e-4	8.32e-4	0.001469	2.49e-4	3.54e-4	7.07e-4	0.001467	0.00136	8.03e-4	6.43e-4	7.05e-4	0.002154	3.45e-4	2.66e-4	4.34e-4	7.26e-4	3.61e-4	4.44e-4	2.15e-4	8.76e-4	0.002432	0.002815	6.48e-4	5.33e-4	3.49e-4	7.97e-4	0.001288	3.65e-4	0.001591	0.001744	0.001263	0.001191	0.001765	9.39e-4	0.001287	0.001323
DNA.TcMar-Tc1	0.001008	0.001553	4.43e-4	3.29e-4	8.63e-4	0.001337	3.06e-4	4.69e-4	7.98e-4	0.002092	0.001126	5.7e-4	7.96e-4	5.91e-4	0.002462	3.55e-4	2.82e-4	3.49e-4	0.001656	3.36e-4	5.56e-4	4.15e-4	8.16e-4	0.002491	0.002391	6.63e-4	4.93e-4	3.7e-4	9.72e-4	0.001207	3.22e-4	0.001217	0.001601	0.003738	0.001348	0.001532	6.07e-4	0.001692	0.001376
DNA.TcMar-m44	6.74e-4	0.00154	9.22e-4	2.47e-4	0.001016	0.005348	1.77e-4	4.21e-4	6.9e-4	0.001273	0.001222	5.7e-4	0.001161	0.001453	0.004359	3.08e-4	2.3e-4	7.52e-4	6.83e-4	3.2e-4	3.48e-4	2.01e-4	0.001429	0.002015	0.003449	7.18e-4	4.43e-4	3.43e-4	8.88e-4	0.002806	2.56e-4	0.00105	0.001183	0.001019	0.001397	0.001704	0.001017	0.002009	0.001261
DNA.hAT-Ac	9.55e-4	0.001273	5.27e-4	2.86e-4	0.001164	0.001745	2.47e-4	3.64e-4	7.37e-4	0.001355	0.001189	6.28e-4	5.55e-4	7.49e-4	0.001667	3.03e-4	2.6e-4	4.46e-4	7.42e-4	3.58e-4	3.34e-4	2.15e-4	0.001518	0.00285	0.002305	6.98e-4	4.9e-4	3.5e-4	6.63e-4	0.001122	5.12e-4	0.001706	0.002299	0.001019	0.001689	0.001511	0.001027	0.001024	0.001076
DNA.hAT-Blackjack	6.37e-4	0.001027	0.002213	3.71e-4	7.17e-4	0.001337	2.24e-4	3.11e-4	6.21e-4	0.001442	0.001141	7.22e-4	5.55e-4	5.78e-4	NA	2.59e-4	2.27e-4	3.12e-4	0.002795	4.23e-4	NA	1.98e-4	7.14e-4	0.002818	0.001441	6.21e-4	3.2e-4	2.98e-4	6.99e-4	0.003367	NA	0.002608	0.002231	0.001019	9.85e-4	0.001511	0.003593	0.005076	0.004036
DNA.hAT-Charlie	0.001365	0.001027	4.48e-4	2.59e-4	8.06e-4	0.001337	2.36e-4	3.25e-4	0.001041	0.004244	9.86e-4	9.43e-4	6.45e-4	6.42e-4	0.003077	3.53e-4	4.29e-4	4.79e-4	7.02e-4	4.34e-4	3.56e-4	2.19e-4	0.001	0.00206	0.002298	5.34e-4	3.2e-4	5.22e-4	8.83e-4	0.001122	8.84e-4	0.001696	0.001552	0.001165	0.001137	0.001511	6.34e-4	8.46e-4	0.001009
DNA.hAT-Tip100	9.71e-4	0.002177	6.51e-4	4.28e-4	8.13e-4	0.001399	3.13e-4	3.28e-4	6.11e-4	0.00138	0.001334	8.26e-4	6.77e-4	6.6e-4	0.001538	3.62e-4	2.77e-4	3.67e-4	7.46e-4	3.43e-4	3.76e-4	1.97e-4	8.66e-4	0.002416	0.00236	6.33e-4	5.2e-4	3.51e-4	7.97e-4	0.001567	6.36e-4	0.001705	0.001615	0.001405	0.001087	0.00173	8.99e-4	0.001749	0.001514
LINE	9.74e-4	0.001404	5.71e-4	2.65e-4	8.56e-4	0.001414	2.28e-4	3.41e-4	6.68e-4	0.001499	0.001323	7.48e-4	6.64e-4	6.61e-4	0.00235	3.22e-4	2.58e-4	4.29e-4	7.27e-4	3.57e-4	3.78e-4	2.13e-4	9.08e-4	0.002418	0.002635	6.67e-4	5.17e-4	3.64e-4	7.93e-4	NA	NA	0.001645	0.001833	0.00132	0.001222	0.00187	9.4e-4	0.001397	0.001272
LINE.CR1	0.001412	0.001575	5.55e-4	3.07e-4	8.41e-4	0.001596	2.36e-4	3.56e-4	5.92e-4	0.001499	0.00123	7.62e-4	6.5e-4	7.4e-4	0.002115	3.49e-4	2.58e-4	5.2e-4	7.74e-4	4.28e-4	5.55e-4	2.27e-4	8.88e-4	0.002503	0.002917	6.51e-4	6.85e-4	3.45e-4	7.47e-4	0.001842	3.41e-4	0.001659	0.001742	0.001102	0.001555	0.00316	9.18e-4	0.001133	0.001402
LINE.CR1-Zenon	9.67e-4	0.001254	4.93e-4	2.62e-4	8.63e-4	0.00142	2.36e-4	3.59e-4	6.48e-4	0.001493	0.001215	7.35e-4	6.59e-4	6.75e-4	0.0020830000000000002	3.27e-4	2.75e-4	4.04e-4	6.94e-4	3.54e-4	4.17e-4	2.13e-4	9.44e-4	0.00242	0.002808	6.1e-4	5.18e-4	3.44e-4	7.83e-4	0.001218	3.95e-4	0.001498	0.00169	0.001206	0.001267	0.001919	9.41e-4	0.001433	0.001311
LINE.CRE	9.96e-4	0.001626	6.47e-4	2.55e-4	8.13e-4	0.001375	2.35e-4	3.35e-4	7.77e-4	0.001452	0.00149	9.26e-4	6.15e-4	5.71e-4	0.001818	3.14e-4	2.55e-4	4.5e-4	7.09e-4	3.01e-4	3.56e-4	1.95e-4	9.62e-4	0.002562	0.003705	5.58e-4	7.7e-4	4.55e-4	7.73e-4	NA	NA	0.001623	0.001614	0.001053	9.85e-4	0.001737	9.84e-4	0.001393	0.001514
