TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA.hAT-Ac	0.001026	0.001329	5.57e-4	2.66e-4	0.001115	0.001811	2.17e-4	3.64e-4	6.96e-4	0.001374	9.1e-4	6.12e-4	5.55e-4	8e-4	0.001538	3.1e-4	2.68e-4	4.61e-4	8.16e-4	3.54e-4	3.39e-4	2.16e-4	0.001401	0.003096	0.002176	6.57e-4	5.29e-4	3.75e-4	6.65e-4	0.001122	5.12e-4	0.001815	0.00249	0.001019	0.001314	0.001511	5.13e-4	0.001106	0.001009
DNA.hAT-Charlie	0.001274	0.001027	4.48e-4	2.64e-4	7.62e-4	0.001337	2.26e-4	3.26e-4	0.001064	0.010417	0.00104	7.9e-4	7.66e-4	6.5e-4	NA	3.54e-4	4.77e-4	4.79e-4	7.24e-4	4.82e-4	3.65e-4	1.85e-4	7.14e-4	0.002646	0.001899	5.38e-4	3.2e-4	6.34e-4	8.98e-4	0.001122	0.001023	0.001739	0.001617	0.001359	0.001204	0.001511	7.19e-4	8.46e-4	0.001009
DNA.hAT-Tip100	0.001037	0.00251	5.02e-4	5.38e-4	8.09e-4	0.001429	3.15e-4	3.21e-4	5.83e-4	0.001368	0.001481	7.03e-4	7.34e-4	6.76e-4	0.001538	3.8e-4	2.66e-4	3.8e-4	6.93e-4	3.38e-4	3.43e-4	1.97e-4	9.24e-4	0.00226	0.002277	6.55e-4	5.57e-4	3.18e-4	8.21e-4	0.001567	6.36e-4	0.001984	0.001474	0.001176	0.001124	0.001715	8.48e-4	0.001894	0.001514
LINE	9.15e-4	0.001465	4.76e-4	2.65e-4	8.63e-4	0.001419	2.32e-4	3.48e-4	6.82e-4	0.001521	0.001233	7.67e-4	6.76e-4	6.38e-4	0.002249	3.23e-4	2.55e-4	4.37e-4	7.29e-4	3.59e-4	3.81e-4	2.12e-4	8.72e-4	0.002461	0.002686	6.63e-4	5.13e-4	3.63e-4	7.92e-4	NA	NA	0.001652	0.001749	0.001353	0.00121	0.001937	9.79e-4	0.001399	0.00126
LINE.CR1	8.46e-4	0.001789	3.43e-4	2.88e-4	7.98e-4	0.001637	2.53e-4	3.78e-4	5.84e-4	0.00162	0.001168	7.72e-4	6.29e-4	7.79e-4	0.002238	3.27e-4	2.57e-4	5.48e-4	7.9e-4	4.39e-4	5.98e-4	2.25e-4	9.27e-4	0.002418	0.002863	6.01e-4	7.06e-4	3.49e-4	7.44e-4	0.001871	3.41e-4	0.001487	0.001762	0.00112	0.001126	0.003818	0.001001	0.001128	0.001501
LINE.CR1-Zenon	9.31e-4	0.001242	4.6e-4	2.58e-4	8.64e-4	0.001414	2.32e-4	3.54e-4	6.53e-4	0.001527	0.001178	7.34e-4	6.55e-4	6.77e-4	0.002071	3.3e-4	2.75e-4	3.86e-4	6.99e-4	3.65e-4	4.17e-4	2.15e-4	8.96e-4	0.002399	0.002788	5.99e-4	4.99e-4	3.45e-4	7.68e-4	0.00121	3.99e-4	0.001474	0.001658	0.001205	0.001206	0.002005	9.35e-4	0.001487	0.001294
LINE.CRE	9.75e-4	0.001412	7.25e-4	2.52e-4	7.96e-4	0.001383	2.56e-4	3.38e-4	8.44e-4	0.00142	0.001627	0.001015	6.3e-4	6.09e-4	0.001709	2.87e-4	2.61e-4	4.3e-4	6.81e-4	3.06e-4	3.68e-4	1.98e-4	0.001053	0.002291	0.003889	5.6e-4	5.94e-4	3.78e-4	8.09e-4	NA	NA	0.001455	0.001504	0.00107	9.85e-4	0.001511	0.001027	0.001269	0.001468
LINE.Dong-R4	0.001226	0.001735	9.15e-4	3.21e-4	7.67e-4	0.001393	2.11e-4	3.77e-4	6.69e-4	0.001358	0.001108	7.45e-4	5.66e-4	7.74e-4	0.003077	3.08e-4	3.23e-4	4.03e-4	7.07e-4	3.87e-4	3.44e-4	2.24e-4	8.24e-4	0.002009	0.002491	5.57e-4	5.05e-4	3.55e-4	7.91e-4	0.001122	4.52e-4	0.001967	0.001907	0.001366	0.001362	0.001511	7.7e-4	0.001218	0.001492
LINE.I	9.21e-4	0.001346	5.32e-4	2.69e-4	9.33e-4	0.001495	2.51e-4	3.39e-4	6.75e-4	0.001624	0.001196	9.36e-4	6.7e-4	7.41e-4	0.008144	3.3e-4	3.06e-4	4.15e-4	7.68e-4	3.32e-4	4.07e-4	2.04e-4	9.73e-4	0.002245	0.002956	7.76e-4	6.1e-4	3.56e-4	7.9e-4	0.001238	3.95e-4	0.001513	0.001666	0.001315	0.001137	0.002062	0.001039	0.00135	0.001224
LINE.I-Jockey	0.00116	0.001376	7.27e-4	3.13e-4	9.43e-4	0.001422	2.1e-4	3.77e-4	6.77e-4	0.001463	0.001632	7.47e-4	5.8e-4	6.29e-4	0.001978	3.65e-4	2.82e-4	5.1e-4	7.71e-4	3.55e-4	4.39e-4	2.19e-4	0.001047	0.002665	0.002407	5.83e-4	4.16e-4	3.55e-4	9.23e-4	0.002806	0.003617	0.001293	0.001631	0.001165	0.001789	0.002001	8.1e-4	0.00118	0.001265
