repeat_type	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Egorge_hap1	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Estirius_hap1	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
LTR.DIRS	254.67	295.07	286.47	312.02	267.42	558.78	360.11	265.23	217.02	249.50	269.97	220.89	269.13	350.98	350.98	264.58	292.99	415.03	276.31	229.10	219.66	283.43	307.05	211.15	245.18	249.38	442.06	253.53	253.53	281.89	293.26	NA	NA	293.42	256.34	376.37	344.11	522.15	254.83	274.16	263.78
LTR.Gypsy	207.46	235.30	257.08	242.06	218.48	218.16	216.70	244.62	296.73	294.37	243.98	217.07	253.59	226.94	226.94	198.55	199.82	274.58	246.59	232.94	192.29	204.86	252.03	199.88	265.49	241.44	304.25	210.05	210.05	247.77	270.45	514.75	451.18	222.36	243.54	294.18	281.31	218.77	221.76	293.42	288.23
LTR.Pao	268.24	299.85	279.51	254.64	299.44	265.21	237.79	288.57	271.43	357.56	360.01	224.70	289.68	289.84	289.84	248.24	231.71	403.35	311.30	249.53	269.39	286.65	392.22	195.27	697.62	279.40	454.79	252.27	252.27	366.15	359.90	412.15	341.19	269.07	303.73	425.11	292.11	272.98	304.96	317.43	340.87
PLE.Chlamys	266.48	425.37	514.60	342.83	605.20	182.96	350.39	281.94	182.27	170.54	205.03	401.36	305.97	457.84	457.84	307.25	446.40	265.65	276.98	414.02	125.32	392.94	243.15	108.45	390.04	266.94	439.04	232.75	232.75	271.39	180.29	NA	NA	274.83	224.08	283.04	504.83	211.50	205.59	663.92	415.56
PLE.Hydra	NA	63.00	NA	NA	NA	NA	NA	NA	57.00	NA	NA	NA	NA	NA	NA	NA	NA	54.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.00	73.00	NA	NA	55.50	NA	NA	NA	NA	NA	83.00	NA	NA	NA
PLE.Naiad	62.50	45.50	62.00	48.80	30.33	63.00	49.00	40.50	98.00	NA	56.00	45.67	58.00	53.40	53.40	60.67	40.67	45.50	57.00	58.00	56.00	35.00	47.50	45.67	54.50	52.80	56.33	33.00	33.00	53.50	67.67	54.38	59.75	37.00	74.50	44.00	59.25	43.50	45.00	55.33	47.50
RC.Helitron	150.16	156.59	180.09	155.92	158.24	147.78	166.22	166.65	154.09	151.04	153.69	155.93	163.66	164.47	164.47	168.38	157.70	151.97	149.68	160.82	144.25	148.53	174.00	145.67	163.79	157.54	179.05	156.49	156.49	149.69	158.84	134.49	103.01	176.52	181.17	163.42	178.32	151.96	164.72	176.84	172.77
rRNA	119.33	122.62	159.50	104.07	162.13	131.34	159.42	125.38	129.51	141.25	121.69	128.83	142.98	121.43	121.43	125.22	141.71	126.98	169.33	120.41	177.84	165.82	141.34	109.98	122.51	114.53	147.93	117.21	117.21	161.22	136.00	221.05	250.65	136.84	158.33	141.15	149.11	154.54	118.92	127.90	188.30
Satellite	189.63	296.24	388.46	175.53	287.72	230.83	417.33	308.05	239.98	246.53	263.46	268.30	342.06	359.39	359.39	334.73	255.75	264.10	264.59	283.29	300.92	246.79	545.26	291.54	310.25	310.01	443.72	343.30	343.30	252.52	389.34	84.58	43.69	293.85	321.69	267.88	288.63	198.45	397.98	336.69	380.89
Simple_repeat	43.57	50.68	43.28	50.01	46.57	43.21	41.52	44.70	44.55	46.10	46.10	49.37	43.59	45.26	45.26	46.21	43.36	42.99	42.52	47.01	51.21	43.86	45.49	46.42	44.32	49.15	45.09	50.87	50.87	42.71	44.66	44.96	43.94	48.50	45.56	44.45	44.44	43.63	48.06	44.76	44.22
