species	chrom	avg_slope_loglog
X3506	scaffold_1	-0.8471781985184745
X3506	scaffold_10	-0.6589846934912188
X3506	scaffold_11	-0.5672679582052575
X3506	scaffold_12	-0.7145072304712918
X3506	scaffold_13	-0.6577897350197758
X3506	scaffold_14	-0.5841475105489321
X3506	scaffold_15	-0.6235620319385596
X3506	scaffold_16	-0.5389644899471429
X3506	scaffold_17	-0.6101421635065196
X3506	scaffold_18	-0.5272470829103105
X3506	scaffold_19	-0.45839126322037815
X3506	scaffold_2	-0.8283216794313466
X3506	scaffold_20	-0.6353942761357226
X3506	scaffold_21	-0.5772043438866099
X3506	scaffold_22	-0.5017244520015156
X3506	scaffold_23	-0.5333600246639202
X3506	scaffold_24	5.365859219165318
X3506	scaffold_3	-0.6804322218999749
X3506	scaffold_4	-0.8138313570479297
X3506	scaffold_5	-0.6776173314965879
X3506	scaffold_6	-0.7259139568963696
X3506	scaffold_7	-0.6537159613464609
X3506	scaffold_8	-0.5730191348770343
X3506	scaffold_9	-0.7219815333158346
X3531	scaffold_1	-0.9495552243823756
X3531	scaffold_10	-0.8380819463585062
X3531	scaffold_2	-0.9889958697885193
X3531	scaffold_3	-1.0123708570754006
X3531	scaffold_4	-0.8438820341234196
X3531	scaffold_5	-0.8722437370323235
X3531	scaffold_6	-0.8943679560629099
X3531	scaffold_7	-0.9342723287904396
X3531	scaffold_8	-0.8229890593298907
X3531	scaffold_9	-0.9236262193556786
X3737	scaffold_1	-0.950162002479021
X3737	scaffold_10	-0.8944883793311192
X3737	scaffold_2	-1.026850843257994
X3737	scaffold_3	-0.9649864809015298
X3737	scaffold_4	-0.9324586496842309
X3737	scaffold_5	-0.9433110260278537
X3737	scaffold_6	-0.9794315634035157
X3737	scaffold_7	-1.0202665350567395
X3737	scaffold_8	-0.8781788265682104
X3737	scaffold_9	-0.9828619926193675
Eaethiops	scaffold_1	-0.5889762483094746
Eaethiops	scaffold_10	-0.5439791835904146
Eaethiops	scaffold_11	-0.6229466195193396
Eaethiops	scaffold_12	-0.5422498983912434
Eaethiops	scaffold_13	-0.5062275185886639
Eaethiops	scaffold_14	-0.4304550042296762
Eaethiops	scaffold_15	-0.5445418959293685
Eaethiops	scaffold_16	-0.4440918574186564
Eaethiops	scaffold_17	-0.39025401954682015
Eaethiops	scaffold_18	-0.7195143983003615
Eaethiops	scaffold_19	-0.8407479579538037
Eaethiops	scaffold_2	-0.6127728987748104
Eaethiops	scaffold_20	-0.6582650728069324
Eaethiops	scaffold_3	-0.6005734127493472
Eaethiops	scaffold_4	-0.6438214840033064
Eaethiops	scaffold_5	-0.7826283784906184
Eaethiops	scaffold_6	-0.6062947984580743
